,0
/en/library/transcripts/660523bg-new-york/,"[['[Bg 3.13]', '[Bg 3.8]', '[Bg 3.27]', '[Bg 4.3]', '[Bg 9.10]', '[Bg 3.9]', '[Bg 3.13]', '[Bg 6.47]', '[Bg 3.13]', '[Bg 3.14]', '[Bg 3.14]', '[Bg 3.14]', '[Bg 3.15]', '[Bg 3.16]']]"
/en/library/transcripts/660525bg-new-york/,"[['[Bg 3.16]', '[Bg 3.13]', '[Bg 3.14]', '[Bg 3.14]', '[Bg 3.8]', '[Bg 3.16]', '[Bg 15.6]', '[Bg 3.17]', '[Bg 6.22]', '[Bg 2.17]', '[SB 12.3.52]', '[SB 4.31.14]', '[SB 11.5.32]', '[SB 12.3.52]', '[SB 7.5.23]', '[SB 10.84.13]', '[SB 10.84.13]', '[SB 11.5.32]']]"
/en/library/transcripts/660527bg-new-york/,"[['[Bg 3.17]', '[Bg 8.6]', '[Bg 1.1]', '[Bg 15.15]', '[Bg 3.9]', '[Bg 3.18]', '[Bg 3.19]', '[Bg 3.19]', '[Bg 3.20]', '[SB 1.4.25]', '[SB 1.4.25]', '[SB 1.4.25]', '[SB 9.19.17]']]"
/en/library/transcripts/660530bg-new-york/,"[['[Bg 3.21]', '[Bg 3.22]', '[Bg 14.4]', '[Bg 3.22]', '[Bg 3.23]', '[Bg 3.21]', '[Bg 3.24]', '[Bg 18.66]', '[Bg 4.7]', '[Bg 4.8]', '[Bg 4.8]', '[Bg 4.7]', '[Bg 4.8]', '[Bg 18.66]', '[Bg 3.24]', '[Bg 3.25]', '[SB 3.33.7]', '[SB 3.25.21]', '[SB 3.25.21]']]"
/en/library/transcripts/660711bg-new-york/,"[['[Bg 3.43]', '[Bg 2.7]', '[Bg 2.11]', '[Bg 2.17]', '[Bg 2.18]', '[Bg 4.1]', '[Bg 4.2]', '[Bg 4.3]', '[SB 10.84.13]', '[SB 10.84.13]']]"
/en/library/transcripts/660713bg-new-york/,"[['[Bg 4.3]', '[Bg 7.7]', '[Bg 7.7]', '[Bg 4.3]', '[Bg 4.5]', '[Bg 2.22]', '[Bg 14.18]', '[Bg 18.66]', '[Bg 4.7]', '[Bg 4.8]', '[Bg 4.6]', '[Bg 2.18]', '[Bg 2.14]', '[Bg 4.6]', '[Bg 10.42]', '[Bg 9.11]', '[Bg 14.4]', '[Bg 18.66]', '[Bg 3.27]', '[Bg 18.73]', '[Bg 18.73]', '[Bg 18.73]', '[SB 3.31.1]']]"
/en/library/transcripts/660718bg-new-york/,"[['[Bg 4.7]', '[Bg 4.8]', '[Bg 4.7]', '[Bg 9.30]', '[Bg 9.30]', '[Bg 4.9]', '[Bg 4.9]', '[Bg 4.9]', '[Bg 2.22]', '[Bg 2.13]', '[Bg 18.55]', '[Bg 4.3]', '[Bg 18.61]', '[Bg 4.9]', '[Bg 15.6]', '[Bg 4.9]', '[Bg 8.19]', '[SB 3.25.21]', '[SB 5.18.12]', '[SB 5.18.12]', '[SB 1.2.17]', '[SB 7.5.23]']]"
/en/library/transcripts/660720bg-new-york/,"[['[Bg 4.9]', '[Bg 4.9]', '[Bg 8.15]', '[Bg 4.9]', '[Bg 8.15]', '[Bg 7.14]', '[Bg 7.15]', '[Bg 4.9]', '[Bg 7.5]', '[Bg 4.9]', '[Bg 8.6]', '[Bg 4.9]', '[Bg 4.34]', '[Bg 4.2]', '[Bg 2.7]', '[Bg 4.9]', '[Bg 4.10]', '[Bg 8.20]', '[Bg 4.11]', '[Bg 4.11]', '[SB 11.3.21]', '[SB 11.3.21]', '[SB 1.2.11]']]"
/en/library/transcripts/660722bg-new-york/,"[['[Bg 4.11]', '[Bg 4.11]', '[Bg 18.66]', '[Bg 18.66]', '[Bg 10.10]', '[Bg 18.61]', '[Bg 4.3]', '[Bg 4.11]', '[Bg 18.66]', '[Bg 18.63]', '[Bg 7.14]', '[Bg 9.10]', '[SB 1.1.1]', '[SB 7.5.31]', '[SB 7.5.31]']]"
/en/library/transcripts/660725bg-new-york/,"[['[Bg 4.11]', '[Bg 7.15]', '[Bg 7.16]', '[Bg 10.41]', '[Bg 7.19]', '[Bg 10.8]', '[Bg 15.7]', '[Bg 4.9]', '[Bg 6.41]', '[Bg 4.9]', '[Bg 4.11]', '[Bg 18.66]', '[Bg 4.12]', '[Bg 7.20]', '[Bg 7.19]', '[Bg 7.16]', '[Bg 10.10]', '[Bg 9.22]', '[Bg 13.9]', '[SB 1.1.1]', '[SB 3.25.25]', '[SB 3.25.25]']]"
